NameBasin,NameRiver,DrainID,AreaBasin,Slope (%),Longest (m),GroupRiver,GroupBasin,CN,Alpha_Ia,K,X,Step
W760,R20,760,2.301445,31.40081,3084.245694,1,1,70.7,0.234557659,0.477572395,0.289607822,1
W770,R10,770,1.034236,25.455254,2268.261893,1,1,70.06,0.234557659,0.477572395,0.289607822,1
W780,R50,780,2.427385,28.859106,3561.991259,1,1,70.51,0.234557659,0.477572395,0.289607822,4
W790,R110,790,4.922114,24.687695,5213.413524,1,1,73.36,0.234557659,0.477572395,0.289607822,1
W800,R30,800,1.283615,26.434376,3100.743753,1,1,70.69,0.234557659,0.477572395,0.289607822,1
W810,R40,810,1.62159,28.467031,3456.888819,1,1,72.39,0.234557659,0.477572395,0.289607822,1
W820,R60,820,1.552682,25.395685,3331.291245,1,1,75.15,0.234557659,0.477572395,0.289607822,4
W830,R70,830,1.541276,22.562555,2939.130761,1,1,70.5,0.234557659,0.477572395,0.289607822,1
W840,R120,840,2.762078,27.819468,3942.616239,1,1,72.63,0.234557659,0.477572395,0.289607822,1
W850,R100,850,0.441101,14.433197,1794.881943,1,1,77.28,0.234557659,0.477572395,0.289607822,4
W860,R80,860,1.022048,23.921284,1965.22606,1,1,70,0.234557659,0.477572395,0.289607822,1
W870,R90,870,0.007031,27.722113,191.606922,1,1,70,0.234557659,0.477572395,0.289607822,4
W880,R140,880,1.454556,22.087658,2517.375838,1,1,70.84,0.234557659,0.477572395,0.289607822,4
W890,R160,890,3.172241,17.23753,4266.959297,2,1,70.15,0.234557659,0.322898474,0.246173624,1
W900,R150,900,3.378182,26.683723,4710.820648,1,1,73.12,0.234557659,0.477572395,0.289607822,4
W910,R130,910,0.52204,26.56744,1485.336276,1,1,70.54,0.234557659,0.477572395,0.289607822,4
W920,R170,920,2.630669,20.292913,3161.543502,2,1,70.07,0.234557659,0.322898474,0.246173624,1
W930,R260,930,4.32476,30.227139,4159.039368,1,1,72.14,0.234557659,0.477572395,0.289607822,4
W940,R180,940,2.429728,24.135391,2920.564254,1,1,70.38,0.234557659,0.477572395,0.289607822,1
W950,R200,950,2.000034,23.428925,3168.345376,2,1,71.23,0.234557659,0.322898474,0.246173624,1
W960,R230,960,2.377228,22.493786,3637.435974,2,1,71.07,0.234557659,0.322898474,0.246173624,1
W970,R190,970,2.013003,19.097265,3492.091852,2,1,74.47,0.234557659,0.322898474,0.246173624,2
W980,R210,980,1.642059,16.760727,2280.762146,3,2,79.64,0.023834183,0.24747234,0.209227398,1
W990,R220,990,0.782513,22.584251,1960.937045,2,1,74.13,0.234557659,0.322898474,0.246173624,2
W1000,R280,1000,2.271757,13.746632,3701.192439,3,2,77.24,0.023834183,0.24747234,0.209227398,1
W1010,R270,1010,1.21252,23.07202,2287.716155,3,2,81.55,0.023834183,0.24747234,0.209227398,2
W1020,R250,1020,1.160801,19.998873,2804.141984,1,1,73.11,0.234557659,0.477572395,0.289607822,1
W1030,R240,1030,2.567856,18.307419,3117.977066,3,2,83.08,0.023834183,0.24747234,0.209227398,1
W1040,R310,1040,0.758919,15.633809,2560.865786,1,1,75.57,0.234557659,0.477572395,0.289607822,4
W1050,R330,1050,1.75128,15.19314,3509.401807,2,1,72.59,0.234557659,0.322898474,0.246173624,2
W1060,R290,1060,0.224379,18.225874,1046.944121,3,2,79.75,0.023834183,0.24747234,0.209227398,2
W1070,R390,1070,3.04802,17.521812,5111.864891,4,1,77.86,0.234557659,0.243366189,0.107369702,1
W1080,R320,1080,2.232538,18.432615,3898.605304,1,1,73.28,0.234557659,0.477572395,0.289607822,1
W1090,R350,1090,3.465371,14.837968,4600.020216,3,2,77.64,0.023834183,0.24747234,0.209227398,1
W1100,R300,1100,1.828156,17.457634,2472.476832,3,2,80.13,0.023834183,0.24747234,0.209227398,1
W1110,R460,1110,2.53723,15.168519,3455.848047,3,2,79.32,0.023834183,0.24747234,0.209227398,2
W1120,R360,1120,2.53098,16.274984,3370.123915,3,2,81.75,0.023834183,0.24747234,0.209227398,1
W1130,R400,1130,2.43301,18.986164,3156.73396,4,1,74.2,0.234557659,0.243366189,0.107369702,1
W1140,R370,1140,0.50579,11.390906,1688.370879,5,1,75.22,0.234557659,0.469342991,0.282818818,4
W1150,R340,1150,1.006579,11.234654,2751.844629,2,1,73.61,0.234557659,0.322898474,0.246173624,1
W1160,R420,1160,2.570512,20.383217,3375.669565,3,2,81.78,0.023834183,0.24747234,0.209227398,1
W1170,R470,1170,1.891751,16.974237,2791.565813,3,2,78.9,0.023834183,0.24747234,0.209227398,1
W1180,R380,1180,0.68548,15.044928,1889.705244,2,1,71.32,0.234557659,0.322898474,0.246173624,2
W1190,R660,1190,1.237208,12.341618,2775.740594,5,1,79.42,0.234557659,0.469342991,0.282818818,4
W1200,R440,1200,1.367367,14.190311,2429.062654,3,2,86.14,0.023834183,0.24747234,0.209227398,1
W1210,R480,1210,1.389086,14.391971,2207.461897,3,2,72.88,0.023834183,0.24747234,0.209227398,2
W1220,R410,1220,1.620184,32.372723,2510.49753,3,2,75.92,0.023834183,0.24747234,0.209227398,1
W1230,R450,1230,0.389694,18.952879,1703.09207,3,2,89.63,0.023834183,0.24747234,0.209227398,2
W1240,R430,1240,0.004219,12.439629,129.550549,3,2,80.52,0.023834183,0.24747234,0.209227398,2
W1250,R530,1250,2.039878,13.154765,2987.354315,3,2,89.34,0.023834183,0.24747234,0.209227398,2
W1260,R500,1260,1.0908,27.087233,2380.686475,3,2,80.31,0.023834183,0.24747234,0.209227398,1
W1270,R560,1270,0.531259,15.675807,1337.035497,3,2,84.22,0.023834183,0.24747234,0.209227398,2
W1280,R550,1280,1.391273,15.18692,3202.965461,3,2,79,0.023834183,0.24747234,0.209227398,2
W1290,R630,1290,1.972064,15.491861,3363.689951,4,1,76.69,0.234557659,0.243366189,0.107369702,1
W1300,R490,1300,0.034219,45.985149,472.231131,3,2,77.67,0.023834183,0.24747234,0.209227398,2
W1310,R580,1310,1.52737,14.361817,2432.019275,3,2,87.35,0.023834183,0.24747234,0.209227398,2
W1320,R540,1320,0.367037,16.941776,1255.156748,3,2,86.04,0.023834183,0.24747234,0.209227398,2
W1330,R510,1330,0.142034,16.199968,831.3332,3,2,78.02,0.023834183,0.24747234,0.209227398,2
W1340,R520,1340,0.095002,10.225619,822.31026,3,2,84.75,0.023834183,0.24747234,0.209227398,2
W1350,R610,1350,0.814389,13.145981,2112.638684,4,1,77.3,0.234557659,0.243366189,0.107369702,2
W1360,R670,1360,1.379242,14.121078,2929.066971,3,2,78.88,0.023834183,0.24747234,0.209227398,1
W1370,R570,1370,1.374242,13.936624,2510.05322,3,2,77.35,0.023834183,0.24747234,0.209227398,1
W1380,R650,1380,1.129707,12.825768,2280.165548,3,2,80.28,0.023834183,0.24747234,0.209227398,1
W1390,R590,1390,0.15094,13.812583,697.753629,3,2,85.35,0.023834183,0.24747234,0.209227398,2
W1400,R640,1400,1.215646,20.677691,1991.038585,3,2,84.2,0.023834183,0.24747234,0.209227398,1
W1410,R600,1410,1.093612,14.838887,2411.7525,3,2,88.18,0.023834183,0.24747234,0.209227398,1
W1420,R700,1420,2.026753,13.365405,2754.509494,3,2,86.83,0.023834183,0.24747234,0.209227398,2
W1430,R620,1430,0.014063,20.405212,172.228631,4,1,85,0.234557659,0.243366189,0.107369702,2
W1440,R690,1440,1.308928,9.978661,4108.226713,4,1,84.23,0.234557659,0.243366189,0.107369702,1
W1450,R730,1450,1.376898,10.472768,2714.864703,4,1,82.08,0.234557659,0.243366189,0.107369702,2
W1460,R680,1460,2.605513,14.988967,4478.864445,3,2,80.57,0.023834183,0.24747234,0.209227398,2
W1470,R720,1470,2.948331,11.801334,4200.308926,5,1,83.96,0.234557659,0.469342991,0.282818818,4
W1480,R710,1480,4.238665,11.677481,4816.075318,3,2,86.63,0.023834183,0.24747234,0.209227398,1
W1490,R740,1490,1.860188,23.199987,3312.801196,3,2,88.03,0.023834183,0.24747234,0.209227398,1
W1500,R750,1500,0.925328,8.675581,1702.831665,5,1,83.59,0.234557659,0.469342991,0.282818818,4
